paradigm,filter,threads,width,height,pixels,mean_s,stddev_s,min_s,max_s,warmup,timed
seq,blur,1,6000,3376,20256000,1.380755,0.224297,1.126007,1.764593,2,5
seq,sobel,1,6000,3376,20256000,0.524986,0.044428,0.456305,0.591561,2,5
seq,sharp,1,6000,3376,20256000,1.446274,0.213801,1.174742,1.798486,2,5
seq,bc,1,6000,3376,20256000,0.163323,0.043497,0.113336,0.219658,2,5
seq,histeq,1,6000,3376,20256000,0.104368,0.013330,0.078938,0.117734,2,5
omp_static,blur,1,6000,3376,20256000,1.488873,0.233039,1.102676,1.713708,2,5
omp_static,blur,2,6000,3376,20256000,0.591165,0.127659,0.476283,0.830170,2,5
omp_static,blur,4,6000,3376,20256000,0.289597,0.014106,0.274297,0.316104,2,5
omp_static,blur,8,6000,3376,20256000,0.286812,0.033322,0.254145,0.342480,2,5
omp_dynamic,blur,1,6000,3376,20256000,1.367051,0.112296,1.192874,1.469774,2,5
omp_dynamic,blur,2,6000,3376,20256000,0.616620,0.135178,0.512035,0.881416,2,5
omp_dynamic,blur,4,6000,3376,20256000,0.347277,0.054024,0.267228,0.408765,2,5
omp_dynamic,blur,8,6000,3376,20256000,0.221402,0.018894,0.206670,0.257972,2,5
omp_guided,blur,1,6000,3376,20256000,1.365728,0.181125,1.098430,1.627056,2,5
omp_guided,blur,2,6000,3376,20256000,0.621056,0.148861,0.472935,0.882514,2,5
omp_guided,blur,4,6000,3376,20256000,0.463398,0.093754,0.344231,0.596204,2,5
omp_guided,blur,8,6000,3376,20256000,0.493998,0.075319,0.407151,0.584221,2,5
omp_static,sobel,1,6000,3376,20256000,0.841613,0.138097,0.638683,1.057538,2,5
omp_static,sobel,2,6000,3376,20256000,0.485131,0.161613,0.260749,0.734284,2,5
omp_static,sobel,4,6000,3376,20256000,0.280867,0.101357,0.190948,0.476030,2,5
omp_static,sobel,8,6000,3376,20256000,0.214476,0.034468,0.173291,0.276523,2,5
omp_dynamic,sobel,1,6000,3376,20256000,1.314709,0.168490,1.122664,1.592541,2,5
omp_dynamic,sobel,2,6000,3376,20256000,1.010784,0.184154,0.825079,1.336607,2,5
omp_dynamic,sobel,4,6000,3376,20256000,1.098887,0.034751,1.034048,1.134209,2,5
omp_dynamic,sobel,8,6000,3376,20256000,0.987389,0.201192,0.826028,1.372066,2,5
omp_guided,sobel,1,6000,3376,20256000,0.914554,0.349051,0.686914,1.604620,2,5
omp_guided,sobel,2,6000,3376,20256000,0.459873,0.168282,0.298539,0.707237,2,5
omp_guided,sobel,4,6000,3376,20256000,0.311217,0.087424,0.205573,0.415295,2,5
omp_guided,sobel,8,6000,3376,20256000,0.190214,0.044634,0.143583,0.245491,2,5
omp_static,sharp,1,6000,3376,20256000,1.881873,0.515774,1.324884,2.733912,2,5
omp_static,sharp,2,6000,3376,20256000,1.061122,0.551916,0.564234,1.855950,2,5
omp_static,sharp,4,6000,3376,20256000,0.548489,0.147236,0.346704,0.778385,2,5
omp_static,sharp,8,6000,3376,20256000,0.281302,0.027559,0.251381,0.332167,2,5
omp_dynamic,sharp,1,6000,3376,20256000,2.205591,0.135382,2.020710,2.356426,2,5
omp_dynamic,sharp,2,6000,3376,20256000,1.381833,0.193356,1.185449,1.621610,2,5
omp_dynamic,sharp,4,6000,3376,20256000,1.354995,0.137504,1.170402,1.532172,2,5
omp_dynamic,sharp,8,6000,3376,20256000,1.218184,0.076236,1.152718,1.366869,2,5
omp_guided,sharp,1,6000,3376,20256000,1.497672,0.317803,1.253640,2.059737,2,5
omp_guided,sharp,2,6000,3376,20256000,0.696767,0.124840,0.582173,0.850382,2,5
omp_guided,sharp,4,6000,3376,20256000,0.382560,0.095164,0.290799,0.503363,2,5
omp_guided,sharp,8,6000,3376,20256000,0.332554,0.092336,0.236462,0.462366,2,5
omp_static,bc,1,6000,3376,20256000,0.122486,0.017773,0.092960,0.145365,2,5
omp_static,bc,2,6000,3376,20256000,0.048233,0.006462,0.039293,0.056755,2,5
omp_static,bc,4,6000,3376,20256000,0.030689,0.001884,0.027845,0.033003,2,5
omp_static,bc,8,6000,3376,20256000,0.025517,0.002882,0.023436,0.031191,2,5
omp_dynamic,bc,1,6000,3376,20256000,1.048945,0.166458,0.930695,1.378178,2,5
omp_dynamic,bc,2,6000,3376,20256000,0.878400,0.081027,0.789000,0.979275,2,5
omp_dynamic,bc,4,6000,3376,20256000,0.850438,0.025631,0.818812,0.881660,2,5
omp_dynamic,bc,8,6000,3376,20256000,0.873252,0.029070,0.824380,0.907786,2,5
omp_guided,bc,1,6000,3376,20256000,0.119234,0.020161,0.083471,0.139858,2,5
omp_guided,bc,2,6000,3376,20256000,0.058591,0.004198,0.052038,0.064790,2,5
omp_guided,bc,4,6000,3376,20256000,0.030003,0.004474,0.026217,0.038717,2,5
omp_guided,bc,8,6000,3376,20256000,0.049990,0.002723,0.045770,0.053903,2,5
omp_static,histeq,1,6000,3376,20256000,0.060061,0.008420,0.045473,0.070924,2,5
omp_static,histeq,2,6000,3376,20256000,0.043260,0.007329,0.035994,0.054846,2,5
omp_static,histeq,4,6000,3376,20256000,0.033304,0.007875,0.023806,0.044430,2,5
omp_static,histeq,8,6000,3376,20256000,0.037579,0.004029,0.033238,0.043780,2,5
omp_dynamic,histeq,1,6000,3376,20256000,1.311957,0.204751,1.089557,1.661706,2,5
omp_dynamic,histeq,2,6000,3376,20256000,1.259825,0.229963,0.978409,1.576573,2,5
omp_dynamic,histeq,4,6000,3376,20256000,1.247900,0.025272,1.207748,1.277020,2,5
omp_dynamic,histeq,8,6000,3376,20256000,1.044426,0.025063,1.013327,1.079321,2,5
omp_guided,histeq,1,6000,3376,20256000,0.061134,0.012884,0.045400,0.083402,2,5
omp_guided,histeq,2,6000,3376,20256000,0.030461,0.005296,0.020490,0.035563,2,5
omp_guided,histeq,4,6000,3376,20256000,0.021230,0.004522,0.017767,0.030046,2,5
omp_guided,histeq,8,6000,3376,20256000,0.014581,0.002666,0.009585,0.016800,2,5
pthread,blur,1,6000,3376,20256000,1.043043,0.108336,0.962206,1.253647,2,5
pthread,blur,2,6000,3376,20256000,0.666720,0.176982,0.469204,0.896341,2,5
pthread,blur,4,6000,3376,20256000,0.269525,0.013148,0.249024,0.283321,2,5
pthread,blur,8,6000,3376,20256000,0.280988,0.106740,0.187098,0.473875,2,5
